Issue,Source,Component,Action,Actor
Asset Not Downloaded,Advance Monitor,Rescue,Please analyze and retrigger Rescue asset download,Media Ingest
Asset Not Downloaded,Advance Monitor,Graphics,Please analyze and retrigger Graphics asset download,Media Ingest
Asset Not Downloaded,Advance Monitor,Audio,Please analyze and retrigger Audio asset download,Media Ingest
Asset Not Downloaded,Advance Monitor,Subtitle,Please analyze and retrigger Subtitle asset download,Media Ingest
Asset Not Downloaded,Advance Monitor,Commercial,Please analyze and retrigger Commercial asset download,Media Ingest
Asset Not Downloaded,Advance Monitor,Dynamic Graphic,Please analyze and retrigger Dynamic Graphic asset download,Media Ingest
Asset Not Downloaded,Advance Monitor,Ticker,Please analyze and retrigger Ticker asset download,Media Ingest
Asset Not Downloaded,Advance Monitor,Promo,Please analyze and retrigger Promo asset download,Media Ingest
Asset Not Downloaded,Advance Monitor,Program,Please analyze and retrigger Program asset download,Media Ingest
Asset Not Downloaded,Realtime Monitor,Media,Please analyze and retrigger Media asset download,Media Ingest
Asset Not Downloaded,Realtime Monitor,Rescue,Please analyze and retrigger Rescue asset download,Media Ingest
Asset Not Downloaded,Realtime Monitor,Graphics,Please analyze and retrigger Graphics asset download,Media Ingest
Asset Not Downloaded,Realtime Monitor,Audio,Please analyze and retrigger Audio asset download,Media Ingest
Asset Not Downloaded,Realtime Monitor,Subtitle,Please analyze and retrigger Subtitle asset download,Media Ingest
Asset Not Downloaded,Realtime Monitor,Commercial,Please analyze and retrigger Commercial asset download,Media Ingest
Asset Not Downloaded,Realtime Monitor,Dynamic Graphic,Please analyze and retrigger Dynamic Graphic asset download,Media Ingest
Asset Not Downloaded,Realtime Monitor,Ticker,Please analyze and retrigger Ticker asset download,Media Ingest
Asset Not Downloaded,Realtime Monitor,Promo,Please analyze and retrigger Promo asset download,Media Ingest
Asset Not Downloaded,Realtime Monitor,Program,Please analyze and retrigger Program asset download,Media Ingest
Asset Not Downloaded,Field,Media,Please analyze and retrigger Media asset download,Media Ingest
Asset Not Downloaded,Field,Rescue,Please analyze and retrigger Rescue asset download,Media Ingest
Asset Not Downloaded,Field,Graphics,Please analyze and retrigger Graphics asset download,Media Ingest
Asset Not Downloaded,Field,Audio,Please analyze and retrigger Audio asset download,Media Ingest
Asset Not Downloaded,Field,Subtitle,Please analyze and retrigger Subtitle asset download,Media Ingest
Asset Not Downloaded,Field,Commercial,Please analyze and retrigger Commercial asset download,Media Ingest
Asset Not Downloaded,Field,Dynamic Graphic,Please analyze and retrigger Dynamic Graphic asset download,Media Ingest
Asset Not Downloaded,Field,Ticker,Please analyze and retrigger Ticker asset download,Media Ingest
Asset Not Downloaded,Field,Promo,Please analyze and retrigger Promo asset download,Media Ingest
Asset Not Downloaded,Field,Program,Please analyze and retrigger Program asset download,Media Ingest
Missing Asset,Blip,Media,Media asset is not available with Amagi. Please deliver asset,Media Ingest
Missing Asset,Blip,Rescue,Rescue asset is not available with Amagi. Please deliver asset,Media Ingest
Missing Asset,Blip,Graphics,Graphics asset is not available with Amagi. Please deliver asset,Media Ingest
Missing Asset,Blip,Audio,Audio asset is not available with Amagi. Please deliver asset,Media Ingest
Missing Asset,Blip,Subtitle,Subtitle asset is not available with Amagi. Please deliver asset,Media Ingest
Missing Asset,Blip,Dynamic Graphic,Dynamic Graphic asset is not available with Amagi. Please deliver asset,Media Ingest
Missing Asset,Blip,Ticker,Ticker asset is not available with Amagi. Please deliver asset,Media Ingest
Missing Asset,Blip,Promo,Promo asset is not available with Amagi. Please deliver asset,Media Ingest
Missing Asset,Blip,Program,Program asset is not available with Amagi. Please deliver asset,Media Ingest
Missing Asset,Blip,Commercial,Commercial asset is not available with Amagi. Please deliver asset,Commercial Ingest
Disk Space Full,Any,Transport server,Hard disk space is scarce in Transport server. Please clear unwnated data and create more space,Customer System
Disk Space Full,Any,Blip,Hard disk space is scarce in Blip. Please clear unwnated data and create more space,Customer System
Disk Space Full,Any,Playout server,Hard disk space is scarce in Playout server. Please clear unwnated data and create more space,Customer System
Disk Space Full,Any,Watermark server,Hard disk space is scarce in Watermark server. Please clear unwnated data and create more space,Customer System
Disk Space Full,Any,Transcode server,Hard disk space is scarce in Transcode server. Please clear unwnated data and create more space,Customer System
Disk Space Full,Any,Media processor,Hard disk space is scarce in Media processor. Please clear unwnated data and create more space,Customer System
Disk Space Full,Any,Transport server,Hard disk space is scarce in Transport server. Please clear unwnated data and create more space. Update customer in case it is required,Amagi Support
Disk Space Full,Any,Blip,Hard disk space is scarce in Blip. Please clear unwnated data and create more space. Update customer in case it is required,Amagi Support
Disk Space Full,Any,Playout server,Hard disk space is scarce in Playout server. Please clear unwnated data and create more space. Update customer in case it is required,Amagi Support
Disk Space Full,Any,Watermark server,Hard disk space is scarce in Watermark server. Please clear unwnated data and create more space. Update customer in case it is required,Amagi Support
Disk Space Full,Any,Transcode server,Hard disk space is scarce in Transcode server. Please clear unwnated data and create more space. Update customer in case it is required,Amagi Support
Disk Space Full,Any,Media processor,Hard disk space is scarce in Media processor. Please clear unwnated data and create more space. Update customer in case it is required,Amagi Support
Playlist Missing,Blip,Playlist,Playlist is not yet available with Amagi. Please create or upload playlist,Scheduling
Playlist Error,Blip,Playlist,Uploaded playlist has errors. Please resolve and publish playlist,Scheduling
Error in Published Playlist,Blip,Playlist,Published playlist has errors. Please resolve and publish playlist,Scheduling
Playlist Not Downloaded,Blip,Playlist,Published playlist is not available in the servers. Please analyze and republish playlist,Amagi Support
Playout Not in Sync With Playlist,Advance Monitor,Media,Scheduled Media is not playing as per schedule in advance monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Advance Monitor,Logo,Scheduled Logo is not playing as per schedule in advance monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Advance Monitor,Graphics,Scheduled Graphics is not playing as per schedule in advance monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Advance Monitor,Subtitle,Scheduled Subtitle is not playing as per schedule in advance monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Advance Monitor,Audio,Scheduled Audio is not playing as per schedule in advance monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Advance Monitor,Dynamic graphics,Scheduled Dynamic graphics is not playing as per schedule in advance monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Advance Monitor,EI Promo,Scheduled EI Promo is not playing as per schedule in advance monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Advance Monitor,Local ID,Scheduled Local ID is not playing as per schedule in advance monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Advance Monitor,Ticker,Scheduled Ticker is not playing as per schedule in advance monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Realtime Monitor,Media,Scheduled Media is not playing as per schedule in monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Realtime Monitor,Logo,Scheduled Logo is not playing as per schedule in monitoring server. Please analyze and update,Amagi Support
