Issue,Action,Actor
Missing Asset,Rescue asset is not available with Amagi. Please deliver asset,Media Ingest/Media
Missing Asset,Graphics asset is not available with Amagi. Please deliver asset,Media Ingest/Graphics
Missing Asset,Audio asset is not available with Amagi. Please deliver asset,Media Ingest/Audio
Missing Asset,Subtitle asset is not available with Amagi. Please deliver asset,Media Ingest/Subtitle
Missing Asset,Dynamic Graphic asset is not available with Amagi. Please deliver asset,Media Ingest/Graphics
Missing Asset,Ticker asset is not available with Amagi. Please deliver asset,Media Ingest/Graphics
Missing Asset,Promo asset is not available with Amagi. Please deliver asset,Media Ingest/Graphics
Missing Asset,Program asset is not available with Amagi. Please deliver asset,Media Ingest/Promo
Missing Asset,Commercial asset is not available with Amagi. Please deliver asset,Commercial Ingest/Commercial
Disk Space Full,Hard disk space is scarce in Transport server. Please clear unwanted data and create more space,Customer System
Disk Space Full,Hard disk space is scarce in Blip. Please clear unwanted data and create more space,Customer System
Disk Space Full,Hard disk space is scarce in Playout server. Please clear unwanted data and create more space,Customer System
Disk Space Full,Hard disk space is scarce in Watermark server. Please clear unwanted data and create more space,Customer System
Disk Space Full,Hard disk space is scarce in Transcode server. Please clear unwanted data and create more space,Customer System
Disk Space Full,Hard disk space is scarce in Media processor. Please clear unwanted data and create more space,Customer System
Disk Space Full,Hard disk space is scarce in Transport server. Please clear unwanted data and create more space. Update customer in case it is required,Amagi Support
Disk Space Full,Hard disk space is scarce in Blip. Please clear unwanted data and create more space. Update customer in case it is required,Amagi Support
Disk Space Full,Hard disk space is scarce in Playout server. Please clear unwanted data and create more space. Update customer in case it is required,Amagi Support
Disk Space Full,Hard disk space is scarce in Watermark server. Please clear unwanted data and create more space. Update customer in case it is required,Amagi Support
Disk Space Full,Hard disk space is scarce in Transcode server. Please clear unwanted data and create more space. Update customer in case it is required,Amagi Support
Disk Space Full,Hard disk space is scarce in Media processor. Please clear unwanted data and create more space. Update customer in case it is required,Amagi Support
Playlist Missing,Playlist is not yet available with Amagi. Please create or upload playlist,Scheduling/Scheduling
Playlist Error,Uploaded playlist has errors. Please resolve and publish playlist,Scheduling/Scheduling
Error in Published Playlist,Published playlist has errors. Please resolve and publish playlist,Scheduling/Scheduling
Playlist Not Downloaded,Published playlist is not available in the servers. Please analyze and republish playlist,Amagi Support
Playout Not in Sync With Playlist,Scheduled Media is not playing as per schedule in advance monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Scheduled Logo is not playing as per schedule in advance monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Scheduled Graphics is not playing as per schedule in advance monitoring server. Please analyze and update,Amagi Support
